ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,Field1,Field3,Field2,MYKEY,SIT,STATE,
11001,1,1,1,1,33,1,2,6,1,2,1,4,4,3,0,0,1,1,0,1,0,0,0,1,2,1,1,1,4,4,2,3,3,2,0,joy,4,3,110011,"During the period of being in love, each time that we met and 
especially when we had not met for a long time.",1,
11001,1,1,1,1,33,1,2,6,1,2,2,4,3,2,2,0,0,1,0,0,0,0,2,1,1,3,0,2,2,1,3,2,2,0,0,fear,3,2,110012,When I was involved in a traffic accident.,1,
11001,1,1,1,1,33,1,2,6,1,2,3,4,1,3,0,0,0,2,0,0,0,0,1,1,1,3,3,0,3,1,2,2,1,0,0,anger,1,3,110013,It infuriated me when the motorist did not let me overtake him.,1,
11001,1,1,1,1,33,1,2,6,1,2,4,4,4,4,1,1,0,1,0,0,1,0,1,2,1,3,3,3,3,5,0,1,1,0,2,sadness,4,4,110014,When I lost the person who meant the most to me. ,1,
11001,1,1,1,1,33,1,2,6,1,2,5,4,4,4,3,0,0,0,0,0,0,0,1,1,1,3,0,0,4,1,0,0,2,0,0,disgust,4,4,110015,"The time I saw a deer knocked and the sight of the animal's 
injuries and helplessness made me nauseous.",1,
11001,1,1,1,1,33,1,2,6,1,2,6,4,4,3,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,2,3,1,2,0,0,shame,4,3,110016,When I did not speak the truth.,1,
11001,1,1,1,1,33,1,2,6,1,2,7,1,3,1,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,5,3,1,0,0,0,guilt,3,1,110017,"When I caused problems for somebody because he could not keep the 
appointed time and this led to various consequences.",1,
11002,1,1,2,2,23,0,0,7,5,2,1,3,2,2,0,0,1,3,1,1,0,0,2,1,1,1,1,0,0,4,0,3,0,0,0,joy,2,2,110021,"When I got a letter offering me the Summer job that I had applied 
for.  ",1,
11002,1,1,2,2,23,0,0,7,5,2,2,4,3,3,2,0,-1,0,-1,0,0,0,0,3,2,3,0,0,0,3,0,2,0,0,0,fear,3,3,110022,"When I was going home alone one night in Paris and a man came up 
behind me and asked me if I was not afraid to be out alone so 
late at night.",1,
11002,1,1,2,2,23,0,0,7,5,2,3,3,3,4,2,0,0,2,0,0,0,1,2,1,1,2,3,0,2,1,3,2,1,3,0,anger,3,4,110023,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,1,
11002,1,1,2,2,23,0,0,7,5,2,4,3,4,4,0,2,0,1,0,0,0,0,0,3,2,3,3,3,2,3,3,1,1,0,2,sadness,4,4,110024,"When my friends did not ask me to go to a New Year's party 
with them.",1,
